"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"0400000US01","Alabama","63999","399",
"0400000US02","Alaska","92788","1232",
"0400000US04","Arizona","79964","407",
"0400000US05","Arkansas","60773","467",
"0400000US06","California","99122","310",
"0400000US08","Colorado","95470","578",
"0400000US09","Connecticut","95781","732",
"0400000US10","Delaware","84954","1251",
"0400000US11","District of Columbia","109870","1937",
"0400000US12","Florida","74568","284",
"0400000US13","Georgia","77353","407",
"0400000US15","Hawaii","100389","1121",
"0400000US16","Idaho","77800","743",
"0400000US17","Illinois","83390","362",
"0400000US18","Indiana","71957","352",
"0400000US19","Iowa","75059","418",
"0400000US20","Kansas","74275","475",
"0400000US21","Kentucky","63726","429",
"0400000US22","Louisiana","60756","408",
"0400000US23","Maine","74733","795",
"0400000US24","Maryland","103678","597",
"0400000US25","Massachusetts","103960","527",
"0400000US26","Michigan","72875","293",
"0400000US27","Minnesota","89062","409",
"0400000US28","Mississippi","56447","539",
"0400000US29","Missouri","70702","325",
"0400000US30","Montana","72509","761",
"0400000US31","Nebraska","76475","633",
"0400000US32","Nevada","78260","596",
"0400000US33","New Hampshire","99031","1123",
"0400000US34","New Jersey","103556","513",
"0400000US35","New Mexico","64059","808",
"0400000US36","New York","85974","402",
"0400000US37","North Carolina","72388","324",
"0400000US38","North Dakota","76657","1163",
"0400000US39","Ohio","71389","321",
"0400000US40","Oklahoma","65039","439",
"0400000US41","Oregon","83011","573",
"0400000US42","Pennsylvania","77971","342",
"0400000US44","Rhode Island","87796","1209",
"0400000US45","South Carolina","69324","570",
"0400000US46","South Dakota","75081","888",
"0400000US47","Tennessee","69595","429",
"0400000US48","Texas","78476","263",
"0400000US49","Utah","95166","774",
"0400000US50","Vermont","81203","1339",
"0400000US51","Virginia","93170","458",
"0400000US53","Washington","98141","414",
"0400000US54","West Virginia","59608","691",
"0400000US55","Wisconsin","77485","455",
"0400000US56","Wyoming","76176","1168",
"0400000US72","Puerto Rico","26297","261",
